2025-04-20 22:48:21 - INFO - ==== 回测日志系统初始化完成 ====
2025-04-20 22:48:21 - INFO - 开始回测 - 策略: MediumFrequencyStrategy, 交易对: BTCUSDT
2025-04-20 22:48:21 - INFO - 回测时间范围: 2024-01-01 00:00:00 到 2024-12-31 00:00:00
2025-04-20 22:48:21 - INFO - 策略参数: {'fast_window': 8, 'slow_window': 15, 'rsi_window': 10, 'rsi_entry': 38, 'min_volume': 0.005, 'price_change_threshold': 0.008}
2025-04-20 22:48:21 - INFO - 初始资金: 1000000
2025-04-20 22:48:21 - INFO - 回测参数设置完成
2025-04-20 22:48:31 - INFO - 成功加载 525600 条K线数据
2025-04-20 22:48:31 - INFO - 
开始回测运行...
2025-04-20 22:48:31 - INFO - 已处理 1000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 2000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 3000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 4000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 5000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 6000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 7000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 8000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 9000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 10000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 11000/525600 条K线数据
2025-04-20 22:48:32 - INFO - 已处理 12000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 13000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 14000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 15000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 16000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 17000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 18000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 19000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 20000/525600 条K线数据
2025-04-20 22:48:33 - INFO - 已处理 21000/525600 条K线数据
2025-04-20 22:48:34 - INFO - 已处理 22000/525600 条K线数据
2025-04-20 22:48:34 - INFO - 已处理 23000/525600 条K线数据
2025-04-20 22:48:34 - INFO - 已处理 24000/525600 条K线数据
2025-04-20 22:48:34 - INFO - 已处理 25000/525600 条K线数据
2025-04-20 22:48:34 - INFO - 已处理 26000/525600 条K线数据
2025-04-20 22:48:34 - INFO - 已处理 27000/525600 条K线数据
